Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.055050e+03,2.056320e+03,0,0,0,0
ESM6 Index,0,2.048750e+03,2049,0,1,258,377
SPX US 6/17/2016 C300 Index,300,1.744800e+03,1.748600e+03,0,0,10,9
SPX US 6/17/2016 C400 Index,400,1645,1.648700e+03,0,0,12,9
SPX US 6/17/2016 C450 Index,450,1595,1.598800e+03,0,0,22,9
SPX US 6/17/2016 C500 Index,500,1.545100e+03,1.548900e+03,0,0,22,9
SPX US 6/17/2016 C550 Index,550,1.495100e+03,1.498900e+03,0,0,22,9
SPX US 6/17/2016 C600 Index,600,1.445200e+03,1449,0,0,22,9
SPX US 6/17/2016 C650 Index,650,1.395300e+03,1399,0,0,22,9
SPX US 6/17/2016 C700 Index,700,1.345300e+03,1349,0,0,9,12
SPX US 6/17/2016 C750 Index,750,1.295400e+03,1.299100e+03,0,0,9,22
SPX US 6/17/2016 C775 Index,775,1.270500e+03,1.274100e+03,0,0,9,12
SPX US 6/17/2016 C800 Index,800,1.245500e+03,1.249200e+03,0,0,9,22
SPX US 6/17/2016 C825 Index,825,1.220500e+03,1.224200e+03,0,0,9,22
SPX US 6/17/2016 C850 Index,850,1.195600e+03,1.199200e+03,0,0,9,22
SPX US 6/17/2016 C875 Index,875,1.170600e+03,1.174300e+03,0,0,9,22
SPX US 6/17/2016 C900 Index,900,1.145700e+03,1.149300e+03,0,0,9,22
SPX US 6/17/2016 C925 Index,925,1.120700e+03,1.124300e+03,0,0,9,12
SPX US 6/17/2016 C950 Index,950,1.095800e+03,1.099400e+03,0,0,9,22
SPX US 6/17/2016 C975 Index,975,1.070800e+03,1.074400e+03,0,0,9,22
SPX US 6/17/2016 C1000 Index,1000,1.045900e+03,1.049400e+03,0,0,9,12
SPX US 6/17/2016 C1025 Index,1025,1.020900e+03,1.024500e+03,0,0,9,22
SPX US 6/17/2016 C1050 Index,1050,996,9.996000e+02,0,0,9,22
SPX US 6/17/2016 C1075 Index,1075,971,9.746000e+02,0,0,9,22
SPX US 6/17/2016 C1100 Index,1100,9.461000e+02,9.497000e+02,0,0,9,22
SPX US 6/17/2016 C1120 Index,1120,9.261000e+02,9.297000e+02,0,0,21,22
SPX US 6/17/2016 C1125 Index,1125,9.212000e+02,9.247000e+02,0,0,9,22
SPX US 6/17/2016 C1140 Index,1140,9.062000e+02,9.098000e+02,0,0,9,22
SPX US 6/17/2016 C1150 Index,1150,8.962000e+02,8.998000e+02,0,0,9,22
SPX US 6/17/2016 C1160 Index,1160,8.863000e+02,8.898000e+02,0,0,9,22
SPX US 6/17/2016 C1175 Index,1175,8.713000e+02,8.749000e+02,0,0,9,22
SPX US 6/17/2016 P1175 Index,1175,5.000000e-02,5.500000e-01,1,0,1493,1515
SPX US 6/17/2016 C1180 Index,1180,8.663000e+02,8.699000e+02,0,0,9,22
SPX US 6/17/2016 P1180 Index,1180,5.000000e-02,5.500000e-01,1,0,1493,1514
SPX US 6/17/2016 C1200 Index,1200,8.464000e+02,8.499000e+02,0,0,9,22
SPX US 6/17/2016 P1200 Index,1200,1.000000e-01,6.000000e-01,1,0,1495,1515
SPX US 6/17/2016 C1210 Index,1210,8.364000e+02,840,0,0,9,22
SPX US 6/17/2016 P1210 Index,1210,1.000000e-01,6.000000e-01,1,0,1495,1513
SPX US 6/17/2016 C1220 Index,1220,8.265000e+02,830,0,0,9,22
SPX US 6/17/2016 P1220 Index,1220,1.500000e-01,6.500000e-01,1,0,1496,1516
SPX US 6/17/2016 C1225 Index,1225,8.215000e+02,825,0,0,9,22
